0,@joseantoniokast,Si un canal de televisión puede establecer la ruta de los migrantes irregulares la pregunta es: En qué están las autoridades a cargo del tema @Carolina_Toha @DrManuelMonsalv @EduardoVergaraB ?? #GobiernoIncompetente,"May 11, 2024 · 8:11 PM UTC",anger,NEG
1,@DipRepublicanos,"¿Cuál fue su aporte? ¿Por qué no se conocen los trabajos específicos que hizo en favor de los damnificados por el megaincendio de la Región de Valparaíso?📍 ☝️ Esas preguntasnos hacemos ante el ""escape silencioso"" de la ministra Vocera de Gobierno…😠  #DiputadosRepublicanos👌","May 11, 2024 · 3:52 PM UTC",others,NEG
2,@joseantoniokast,Otra voltereta más. El “Perro Matapacos” ya no es denigrante. Según la Ministra Camila Vallejo es un simbolo positivo para algunas personas. Insólito !!,"May 11, 2024 · 2:35 PM UTC",anger,NEG
3,@joseantoniokast,"Llegaron tarde a la emergencia. Montaron un show con una falsa reconstrucción. A la primera lluvia, los dejaron solos y abandonados. Estamos frente a un gobierno que no cuida ni respeta a los que más sufren. #GobiernoIncompetente","May 11, 2024 · 1:44 AM UTC",anger,NEG
4,@joseantoniokast,En los cerros de Viña del Mar junto a nuestro candidato a Gobernador @FVenezian_ y la futura Alcaldesa @antopecchenino viendo en terreno el abandono y desprotección de las víctimas del incendio. ¿Y Camila Vallejo? Nunca más la vieron.,"May 10, 2024 · 7:54 PM UTC",sadness,NEG
5,@joseantoniokast,"En Valparaiso, junto al futuro Alcalde @RGonzalezCamus y el futuro Gobernador Regional @FVenezian_ acompañados de nuestros Diputados @BarchiesiDip y @sanchezdiputado #RecuperemosValparaiso #SoyRepublicano","May 10, 2024 · 3:46 PM UTC",joy,NEU
6,@joseantoniokast,Una vocera de gobierno que habla solo cuando le conviene. Uso la tragedia de Viña del Mar para figurar y dejó todo abandonado cuando se necesitaban soluciones concretas,"May 10, 2024 · 2:45 AM UTC",anger,NEG
7,@arturo_squella,"Durante el gobierno de @GabrielBoric sólo aumentará el crimen organizado y con ello el terror y la angustia de miles de chilenos. Esperamos que como es habitual, se arrepienta en el futuro de haber privilegiado su ideología por sobre la paz de los chilenos.","May 10, 2024 · 1:24 AM UTC",anger,NEG
8,@joseantoniokast,#Miserable,"May 10, 2024 · 12:37 AM UTC",others,NEG
9,@maca_santelices,"San Bernardo tendrá un gran Alcalde, Christián Gómez💪🏼🇨🇱   En el distrito 14 tenemos un tremendo equipo junto a @JIrarrazavalR para recuperar la Región Metropolitana.   Gracias por el cariño y la invitación.","May 9, 2024 · 11:56 PM UTC",joy,POS
10,@joseantoniokast,Somos un gran equipo y vamos a recuperar la Región Metropolitana junto a @maca_santelices #SoyRepublicano 🇨🇱,"May 9, 2024 · 7:16 PM UTC",joy,NEU
11,@joseantoniokast,Hace 12 días asesinaron a tres Carabineros en Cañete. ¿Y qué está haciendo Boric? Comentando de futbol en la radio. Tenemos un Presidente absolutamente desconectado de la realidad #CulturaWoke,"May 9, 2024 · 5:48 PM UTC",anger,NEG
